Monooxygenase_B      PF04744.11 Ga0073928_1000008053 -            1.3e-05   11.8   0.0   1.6e-05   11.5   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_1000028111 -             0.0021    4.6   6.9   0.00044    6.8   3.1   1.6   2   0   0   2   2   2   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_1000040165 -            1.8e-05   11.8   0.5   2.9e-05   11.1   0.5   1.3   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_100004499  -            4.3e-06   13.8   0.2   4.6e-06   13.7   0.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_1000054854 -            9.1e-99  318.4   0.6   1.1e-98  318.1   0.6   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_1000054856 -            1.2e-66  212.6  23.8   1.4e-66  212.4  23.8   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_1000054857 -            1.4e-55  175.9  16.2   1.6e-55  175.7  16.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000062722 -            1.5e-06   15.3   1.6     3e-06   14.3   1.6   1.6   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000073153 -            3.6e-07   17.3   0.8   3.6e-07   17.3   0.8   2.4   2   1   0   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000110012 -              0.015    2.2  15.5   0.00011    9.2   4.5   2.8   3   1   0   3   3   3   0 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000113340 -              7e-06   13.1   6.3   6.5e-05   10.0   6.3   2.2   1   1   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000165619 -            1.4e-06   15.4   0.4   1.4e-06   15.4   0.4   2.5   2   0   0   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000187319 -            1.2e-05   12.3   0.1     2e-05   11.6   0.1   1.3   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_1000187914 -           3.4e-118  382.4   0.0  3.8e-118  382.2   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_1000187915 -            3.3e-15   43.4   0.0   3.6e-15   43.3   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_1000187916 -            2.2e-93  300.1  22.5   2.4e-93  299.9  22.5   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_1000187917 -            1.9e-93  299.9  15.3   2.4e-93  299.6  15.3   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000188722 -            3.2e-06   14.2   1.8   5.9e-06   13.4   1.8   1.5   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_100023124  -              2e-54  172.1  18.2   2.4e-54  171.9  18.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_100023125  -            1.3e-65  209.2  21.2   1.5e-65  208.9  21.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_100023127  -            1.9e-97  314.0   0.7   2.4e-97  313.7   0.7   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_100026867  -            3.3e-05   11.4   0.0   5.2e-05   10.8   0.0   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_1000279116 -            3.4e-05   10.9   3.9   0.00014    8.9   3.9   2.1   1   1   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_1000303412 -            1.2e-05   11.9   1.3   1.2e-05   11.9   0.1   1.6   2   0   0   2   2   2   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_1000319323 -            1.1e-05   12.1   0.3   1.2e-05   11.9   0.3   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_1000354625 -             0.0018    5.2  12.2   4.3e-05   10.5   4.5   2.3   2   1   0   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000424716 -              1e-06   15.8   1.7   2.1e-06   14.9   1.7   1.5   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_1000426210 -            3.2e-07   17.5   2.9     7e-07   16.4   2.9   1.5   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_1000470916 -            3.3e-06   13.8   0.0     1e-05   12.1   0.0   1.7   1   1   1   2   2   2   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100047775  -            1.1e-05   12.1   0.0   1.2e-05   11.9   0.0   1.2   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_100057804  -            6.8e-06   13.2   0.1   7.8e-06   13.0   0.1   1.3   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_1000633814 -            2.7e-09   24.8   1.1   2.7e-09   24.8   1.1   1.4   1   1   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_100073116  -            1.9e-05   11.2   1.0   1.9e-05   11.2   1.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100074779  -            5.6e-05    9.7   1.9   9.3e-05    9.0   1.9   1.3   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_100077717  -            1.3e-05   12.2   4.2   3.3e-05   10.9   4.2   1.6   1   1   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_100096181  -            5.6e-06   13.0   0.0   8.4e-06   12.4   0.0   1.3   1   1   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_100097022  -             0.0011    5.9  11.7   5.1e-05   10.3   5.6   2.0   2   1   0   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_100107054  -            1.1e-95  307.3  16.3   1.3e-95  307.0  16.3   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_100107055  -           5.7e-158  513.3   0.0  6.4e-158  513.1   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_100107056  -           7.4e-114  367.1  15.5  8.7e-114  366.9  15.5   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_100111787  -            1.8e-06   15.1   0.3   1.8e-06   15.1   0.3   2.6   2   1   0   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_100117764  -              3e-07   18.1   1.5   7.2e-07   16.9   1.5   1.6   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_100133302  -            1.2e-05   12.4   0.0   1.9e-05   11.7   0.0   1.3   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_100147361  -            2.3e-06   14.7   0.3   3.1e-06   14.3   0.3   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_100152198  -            1.6e-05   11.5   0.3   2.6e-05   10.8   0.2   1.3   1   1   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_100172658  -            1.4e-05   12.7   0.0     2e-05   12.2   0.0   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_100213575  -            9.9e-06   12.2   1.6   3.9e-05   10.2   1.7   1.8   1   1   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_100244091  -            4.3e-05   10.6   4.6   0.00012    9.0   4.6   1.8   1   1   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_100257841  -             0.0093    2.4   8.9    0.0016    4.9   1.4   2.3   2   0   0   2   2   2   2 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_100280502  -             0.0057    3.6  13.3   0.00021    8.3   5.6   2.3   2   1   0   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_100329041  -            8.3e-06   12.5   0.1   0.00084    5.9   0.0   3.2   2   1   1   3   3   3   2 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100333523  -           1.3e-103  334.3   1.0  1.6e-103  334.1   1.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100333524  -            1.2e-46  146.8   0.0   1.7e-46  146.4   0.0   1.2   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_100380431  -             0.0046    3.9  13.1   0.00015    8.8   5.8   2.1   2   1   0   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_100403545  -            1.6e-05   11.5   0.1   2.7e-05   10.8   0.1   1.3   1   0   0   1   1   1   1 Monooxygenase subunit B protein
