#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Ga0073928_100107056  -          AMO                  PF02461.15  8.8e-108  367.1  15.5    1e-107  366.9  15.5   1.0   1   0   0   1   1   1   1 -
Ga0073928_103548642  -          AMO                  PF02461.15   1.1e-95  327.5  12.4   1.2e-95  327.3  12.4   1.0   1   0   0   1   1   1   1 -
Ga0073928_101270862  -          AMO                  PF02461.15   1.7e-90  310.5  22.0     2e-90  310.3  22.0   1.0   1   0   0   1   1   1   1 -
Ga0073928_1000187916 -          AMO                  PF02461.15   2.6e-87  300.1  22.5   2.9e-87  299.9  22.5   1.0   1   0   0   1   1   1   1 -
Ga0073928_103341722  -          AMO                  PF02461.15   6.5e-75  259.5  17.9   7.3e-75  259.3  17.9   1.0   1   0   0   1   1   1   1 -
Ga0073928_102017132  -          AMO                  PF02461.15   1.2e-66  232.5  17.5   1.3e-66  232.3  17.5   1.0   1   0   0   1   1   1   1 -
Ga0073928_112485891  -          AMO                  PF02461.15   1.9e-66  231.8   6.9   2.1e-66  231.6   6.9   1.0   1   0   0   1   1   1   1 -
Ga0073928_105782641  -          AMO                  PF02461.15     4e-64  224.2   6.8   4.5e-64  224.0   6.8   1.0   1   0   0   1   1   1   1 -
Ga0073928_1000054856 -          AMO                  PF02461.15   1.4e-60  212.6  23.8   1.6e-60  212.4  23.8   1.0   1   0   0   1   1   1   1 -
Ga0073928_107255051  -          AMO                  PF02461.15   1.5e-60  212.5  17.1   1.7e-60  212.3  17.1   1.0   1   0   0   1   1   1   1 -
Ga0073928_103969381  -          AMO                  PF02461.15   2.3e-60  211.9  24.0   2.6e-60  211.7  24.0   1.0   1   0   0   1   1   1   1 -
Ga0073928_100023125  -          AMO                  PF02461.15   1.5e-59  209.2  21.2   1.8e-59  208.9  21.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_116873391  -          AMO                  PF02461.15   7.6e-59  206.9   3.3   8.3e-59  206.8   3.3   1.0   1   0   0   1   1   1   1 -
Ga0073928_118230311  -          AMO                  PF02461.15     6e-56  197.4   3.1   6.6e-56  197.3   3.1   1.0   1   0   0   1   1   1   1 -
Ga0073928_111864151  -          AMO                  PF02461.15   3.7e-51  181.7  11.0   4.2e-51  181.6  11.0   1.0   1   0   0   1   1   1   1 -
Ga0073928_104622741  -          AMO                  PF02461.15   6.8e-51  180.9   7.5   8.1e-51  180.6   7.5   1.0   1   0   0   1   1   1   1 -
Ga0073928_109944022  -          AMO                  PF02461.15     2e-50  179.3   4.9   2.2e-50  179.2   4.9   1.0   1   0   0   1   1   1   1 -
Ga0073928_119380511  -          AMO                  PF02461.15   4.3e-45  161.9   4.5   4.8e-45  161.7   4.5   1.0   1   0   0   1   1   1   1 -
Ga0073928_104223381  -          AMO                  PF02461.15     5e-42  151.8  20.7   6.1e-42  151.6  20.7   1.0   1   0   0   1   1   1   1 -
Ga0073928_102993971  -          AMO                  PF02461.15   9.5e-40  144.4  24.8   1.1e-39  144.2  24.8   1.0   1   0   0   1   1   1   1 -
Ga0073928_119471871  -          AMO                  PF02461.15   1.7e-36  133.7   2.8   1.9e-36  133.6   2.8   1.0   1   0   0   1   1   1   1 -
Ga0073928_112789402  -          AMO                  PF02461.15   2.8e-36  133.0   2.7   3.1e-36  132.9   2.7   1.0   1   0   0   1   1   1   1 -
Ga0073928_119518011  -          AMO                  PF02461.15     3e-34  126.4   7.0   3.2e-34  126.3   7.0   1.0   1   0   0   1   1   1   1 -
Ga0073928_119524091  -          AMO                  PF02461.15   6.3e-33  122.1   5.1   6.8e-33  121.9   5.1   1.0   1   0   0   1   1   1   1 -
Ga0073928_110144961  -          AMO                  PF02461.15   9.2e-33  121.5   3.3     1e-32  121.3   3.3   1.0   1   0   0   1   1   1   1 -
Ga0073928_101436704  -          AMO                  PF02461.15     2e-31  117.1   3.7   2.2e-31  117.0   3.7   1.0   1   0   0   1   1   1   1 -
Ga0073928_114305831  -          AMO                  PF02461.15     6e-31  115.6   4.5   6.5e-31  115.5   4.5   1.0   1   0   0   1   1   1   1 -
Ga0073928_112610371  -          AMO                  PF02461.15     4e-30  112.9   7.0   4.9e-30  112.6   7.0   1.1   1   0   0   1   1   1   1 -
